"","input","filtered","denoisedF","denoisedR","merged","nonchimera"
"F3D0",7793,3351,3261,3296,3122,3119
"F3D1",5869,2770,2715,2704,2597,2597
"F3D141",5958,2446,2385,2387,2241,2187
"F3D142",3183,1299,1212,1249,1122,1083
"F3D143",3178,1298,1228,1233,1123,1112
"F3D144",4827,1641,1555,1578,1462,1414
"F3D145",7377,2494,2402,2422,2296,2205
"F3D146",5021,2098,2012,2022,1866,1833
"F3D147",17070,6281,6146,6186,5907,5444
"F3D148",12405,5182,5047,5078,4783,4566
"F3D149",13083,5356,5260,5276,5025,4867
"F3D150",5509,2277,2167,2198,1984,1959
"F3D2",19620,8618,8483,8505,8297,8069
"F3D3",6758,2793,2719,2749,2613,2443
"F3D5",4448,1887,1821,1838,1704,1704
"F3D6",7989,3507,3433,3429,3271,3219
"F3D7",5129,2252,2176,2180,2056,1950
"F3D8",5294,2576,2504,2513,2353,2353
"F3D9",7070,3447,3383,3412,3289,3245
"Mock",4779,2824,2814,2817,2806,2806
